Country Name,Country Code,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),"Electricity production from renewable sources, excluding hydroelectric (% of total)",Energy use (kg of oil equivalent per capita),Fossil fuel energy consumption (% of total),GDP (constant 2015 US$),Gross_Capital_gdp_pct,Gross_Capital_growth,Gross capital formation (constant 2015 US$),"Population, total",energy_usage,GDP per capita,Vulnerability Score
Iraq,IRQ,0.8388479500299676,0.0,1250.4599779033051,96.99208839165075,164655623141.43814,19.287813322053776,9.098601610765272,31781175917.103466,37055297.0,46283961568.34901,4443.5576624361465,0.44572396297558636
Ireland,IRL,0.13671260662951618,23.552986970698125,2780.725367824919,84.8902034610346,272525427963.40048,23.985288397912534,41.996903278625574,65985320627.29393,4679848.5,13014239000.0,58204.96421316975,0.32467415381618514
Isle of Man,IMN,0.22260073458433552,2.0,5372.539131858141,98.0,7098522804.626144,22.991442074339,3.8782272167837846,67051555765.19023,83742.5,449909858.24963045,84766.04986981017,0.34479028761890707
Israel,ISR,0.22399645917483157,1.6729669951162975,2770.190628722229,94.56588009198042,299300076368.9381,22.54718508945374,3.9103949895873953,67470131120.223816,8297900.0,22987396500.0,36068.82971945851,0.31523476978104487
Italy,ITA,0.18976999960691968,22.423457738271715,2448.1193235216756,79.26743867871664,1837327612278.2576,17.178995543987387,1.3163736448779702,315642717165.6795,60759861.0,148746405000.0,30239.23873635294,0.34378039912645436
Jamaica,JAM,0.5047670358368087,6.815502536365395,1076.224988889773,89.48567240416136,14124159262.908537,21.912856483805562,-1.1451603839866422,3094643390.7939367,2798141.5,3011741271.806643,5047.669097739535,0.4377033065443721
Japan,JPN,0.28477292249014474,7.02807877257132,3449.660172476196,93.71696200452917,4410779240800.845,25.100854934456347,2.9607898266363506,1107165323963.4268,127208500.0,438827520500.0,34673.77261981274,0.36035425651765446
Jordan,JOR,0.6753467985495066,0.36643690933377765,1038.756334638731,97.80422332526165,38117081966.898865,25.321814052363084,3.8400990442443828,9649649058.406115,9168219.5,9564351237.220402,4162.437754733965,0.40003985077827947
Kazakhstan,KAZ,1.1944106949226325,0.09072516899726539,3245.0771254051565,98.58695365645109,183295192819.95312,26.8490814220773,7.049999999563049,49224650864.09979,17950227.0,58108141929.25053,10211.41633978325,0.3245571725792727
Kenya,KEN,0.24923052707898363,47.00410496113452,519.8193837739393,57.6897863057446,68461180496.72723,23.52705860040131,6.519825977651308,16083279735.349688,46569983.0,24211452048.72338,1469.8564898978036,0.5164658111722189
Kiribati,KIR,0.33889765123918497,2.0,526.5154211335213,98.0,181861942.41718188,33.21420631013459,22.190739426105285,60845705.89708855,116070.5,61112908.188678384,1566.3516644122508,0.5999995124810213
